ID,Screen Name,Created_at,Favorite Count,Retweet Count,Text
727240180281819137,@SenWarren,2016-05-02 20:55:45,0,86,RT @SenJeffMerkley: Millions of American families are working harder than ever without basic overtime protections. It's critical that we #F…
727239465157140481,@SenWarren,2016-05-02 20:52:54,0,78,RT @SenJeffMerkley: America does best when everyone has a fair shot—Fair overtime pay will help millions of working families #OverdueOT htt…
727230178653540352,@SenWarren,2016-05-02 20:16:00,0,89,RT @SenSherrodBrown: Ohioans like Richard who work hard &amp; play by the rules should be able to support their families. #overdueOT https://t.…
727224618608693248,@SenWarren,2016-05-02 19:53:54,0,48,RT @SenGillibrand: Strongly support @USDOL overtime rule &amp; urge #OMB to finalize it--would benefit millions of hardworking American workers…
727220052123111424,@SenWarren,2016-05-02 19:35:46,0,79,"RT @SenBobCasey: Like Nicholas from Mechanicsburg says, we must stand up for working people and the 40 hour work week. #overdueOT https://t…"
727217944502128642,@SenWarren,2016-05-02 19:27:23,0,49,RT @SenBobCasey: It's important that everyone has a chance to maintain a balance between work life and home life. #overdueOT https://t.co/a…
727216505100886017,@SenWarren,2016-05-02 19:21:40,0,132,"RT @SenBobCasey: It's pretty simple, workers should be paid for every hour they work. #overdueOT https://t.co/LYncOJR5Jp"
727206424032468994,@SenWarren,2016-05-02 18:41:36,0,71,RT @SenJeffMerkley: A hard day’s work deserves a fair day’s pay #OverdueOT #FixOvertime https://t.co/GxNDWkB0zL
727205903716519940,@SenWarren,2016-05-02 18:39:32,0,92,RT @PattyMurray: Workers’ paychecks in WA and across the country should finally reflect the hours they put in on the job. #OverdueOT https:…
727202044948393995,@SenWarren,2016-05-02 18:24:12,759,286,"Too often, lawyers &amp; lobbyists bury the voices of American workers. It’s time to listen to workers who need a fighting chance. #overdueOT"
727201719139094531,@SenWarren,2016-05-02 18:22:55,145,44,"I sent our #overdueOT report to OMB Director @ShaunOMB, urging him to listen to American workers. https://t.co/OehbZlgneM"
727201126873968640,@SenWarren,2016-05-02 18:20:34,157,73,Read our new report w/ workers in all 50 states saying what new overtime rules would mean to them: https://t.co/R28FjGtX0f #overdueOT
727200800087412736,@SenWarren,2016-05-02 18:19:16,369,166,"Updating our outdated overtime rules is about economics, but it’s also about our values. #overdueOT https://t.co/gSTl95EhMu"
727200406552600576,@SenWarren,2016-05-02 18:17:42,418,189,"If we raise the overtime threshold, millions of people – including 281k in MA – will qualify for OT. #overdueOT https://t.co/QZHWaogdW9"
727200126385676290,@SenWarren,2016-05-02 18:16:35,248,88,.@USDOL proposed a strong new rule to close the overtime loophole &amp; ensure a hard day’s work is rewarded with a fair day’s pay. #overdueOT
727199823301083136,@SenWarren,2016-05-02 18:15:23,659,330,"Fast food workers, janitors, grocery clerks – anyone is called a ""manager"" to avoid overtime. It’s crazy. #overdueOT https://t.co/eXhPqO5RzL"
727199430378700800,@SenWarren,2016-05-02 18:13:49,559,354,Employers can abuse a loophole by classifying anyone making over $23k/yr as a manager to avoid OT pay. #overdueOT https://t.co/W8gDoxNpY2
